Gene;Gene name;Tissue;TPM
ENSG00000000003;TSPAN6;adipose tissue;27.4
ENSG00000000003;TSPAN6;adrenal gland;15.5
ENSG00000000003;TSPAN6;amygdala;7.3
ENSG00000000003;TSPAN6;basal ganglia;7.7
ENSG00000000003;TSPAN6;breast;32.0
ENSG00000000003;TSPAN6;cerebellum;2.5
ENSG00000000003;TSPAN6;cerebral cortex;5.6
ENSG00000000003;TSPAN6;cervix, uterine;30.6
ENSG00000000003;TSPAN6;colon;32.6
ENSG00000000003;TSPAN6;endometrium;22.8
ENSG00000000003;TSPAN6;esophagus;35.5
ENSG00000000003;TSPAN6;fallopian tube;27.7
ENSG00000000003;TSPAN6;heart muscle;4.5
ENSG00000000003;TSPAN6;hippocampal formation;7.0
ENSG00000000003;TSPAN6;hypothalamus;9.9
ENSG00000000003;TSPAN6;kidney;16.2
ENSG00000000003;TSPAN6;liver;23.8
ENSG00000000003;TSPAN6;lung;12.0
ENSG00000000003;TSPAN6;midbrain;6.5
ENSG00000000003;TSPAN6;ovary;50.3
ENSG00000000003;TSPAN6;pancreas;7.6
ENSG00000000003;TSPAN6;pituitary gland;36.5
ENSG00000000003;TSPAN6;prostate;17.5
ENSG00000000003;TSPAN6;salivary gland;30.7
ENSG00000000003;TSPAN6;skeletal muscle;2.0
ENSG00000000003;TSPAN6;skin;8.8
ENSG00000000003;TSPAN6;small intestine;16.2
ENSG00000000003;TSPAN6;spinal cord;6.4
ENSG00000000003;TSPAN6;spleen;7.8
ENSG00000000003;TSPAN6;stomach;8.8
ENSG00000000003;TSPAN6;testis;49.5
ENSG00000000003;TSPAN6;thyroid gland;18.7
ENSG00000000003;TSPAN6;urinary bladder;37.6
ENSG00000000003;TSPAN6;vagina;23.8
ENSG00000000938;FGR;adipose tissue;19.9
ENSG00000000938;FGR;adrenal gland;4.8
ENSG00000000938;FGR;amygdala;2.7
ENSG00000000938;FGR;basal ganglia;3.2
ENSG00000000938;FGR;breast;13.7
ENSG00000000938;FGR;cerebellum;2.4
ENSG00000000938;FGR;cerebral cortex;3.8
ENSG00000000938;FGR;cervix, uterine;9.1
ENSG00000000938;FGR;colon;5.0
ENSG00000000938;FGR;endometrium;8.6
ENSG00000000938;FGR;esophagus;3.8
ENSG00000000938;FGR;fallopian tube;18.7
ENSG00000000938;FGR;heart muscle;3.7
ENSG00000000938;FGR;hippocampal formation;3.2
ENSG00000000938;FGR;hypothalamus;3.7
ENSG00000000938;FGR;kidney;4.4
ENSG00000000938;FGR;liver;4.2
ENSG00000000938;FGR;lung;86.1
ENSG00000000938;FGR;midbrain;4.9
ENSG00000000938;FGR;ovary;2.4
ENSG00000000938;FGR;pancreas;1.7
ENSG00000000938;FGR;pituitary gland;2.7
ENSG00000000938;FGR;prostate;6.2
ENSG00000000938;FGR;salivary gland;5.8
ENSG00000000938;FGR;skeletal muscle;1.3
ENSG00000000938;FGR;skin;3.7
ENSG00000000938;FGR;small intestine;8.2
ENSG00000000938;FGR;spinal cord;6.5
ENSG00000000938;FGR;spleen;124.3
ENSG00000000938;FGR;stomach;4.1
ENSG00000000938;FGR;testis;3.2
ENSG00000000938;FGR;thyroid gland;7.6
ENSG00000000938;FGR;urinary bladder;7.1
ENSG00000000938;FGR;vagina;6.7
ENSG00000000971;CFH;adipose tissue;122.4
ENSG00000000971;CFH;adrenal gland;27.3
ENSG00000000971;CFH;amygdala;5.0
ENSG00000000971;CFH;basal ganglia;7.5
ENSG00000000971;CFH;breast;54.3
ENSG00000000971;CFH;cerebellum;3.5
ENSG00000000971;CFH;cerebral cortex;5.5
ENSG00000000971;CFH;cervix, uterine;30.9
ENSG00000000971;CFH;colon;26.3
ENSG00000000971;CFH;endometrium;12.5
ENSG00000000971;CFH;esophagus;30.7
ENSG00000000971;CFH;fallopian tube;27.5
ENSG00000000971;CFH;heart muscle;163.3
ENSG00000000971;CFH;hippocampal formation;5.8
ENSG00000000971;CFH;hypothalamus;6.0
ENSG00000000971;CFH;kidney;19.1
ENSG00000000971;CFH;liver;286.4
ENSG00000000971;CFH;lung;73.2
ENSG00000000971;CFH;midbrain;10.1
ENSG00000000971;CFH;ovary;166.9
ENSG00000000971;CFH;pancreas;4.3
ENSG00000000971;CFH;pituitary gland;17.5
ENSG00000000971;CFH;prostate;24.2
ENSG00000000971;CFH;salivary gland;107.1
ENSG00000000971;CFH;skeletal muscle;9.9
ENSG00000000971;CFH;skin;71.9
ENSG00000000971;CFH;small intestine;41.9
ENSG00000000971;CFH;spinal cord;11.3
ENSG00000000971;CFH;spleen;9.0
ENSG00000000971;CFH;stomach;22.1
ENSG00000000971;CFH;testis;11.5
ENSG00000000971;CFH;thyroid gland;117.8
ENSG00000000971;CFH;urinary bladder;97.4
ENSG00000000971;CFH;vagina;26.6
ENSG00000001629;ANKIB1;adipose tissue;10.4
ENSG00000001629;ANKIB1;adrenal gland;8.1
ENSG00000001629;ANKIB1;amygdala;9.9
ENSG00000001629;ANKIB1;basal ganglia;10.0
ENSG00000001629;ANKIB1;breast;9.3
ENSG00000001629;ANKIB1;cerebellum;11.7
ENSG00000001629;ANKIB1;cerebral cortex;9.2
ENSG00000001629;ANKIB1;cervix, uterine;11.4
ENSG00000001629;ANKIB1;colon;8.8
ENSG00000001629;ANKIB1;endometrium;11.0
ENSG00000001629;ANKIB1;esophagus;7.1
ENSG00000001629;ANKIB1;fallopian tube;9.6
ENSG00000001629;ANKIB1;heart muscle;4.2
ENSG00000001629;ANKIB1;hippocampal formation;11.2
ENSG00000001629;ANKIB1;hypothalamus;12.1
ENSG00000001629;ANKIB1;kidney;5.8
ENSG00000001629;ANKIB1;liver;2.5
ENSG00000001629;ANKIB1;lung;9.0
ENSG00000001629;ANKIB1;midbrain;13.1
ENSG00000001629;ANKIB1;ovary;10.0
ENSG00000001629;ANKIB1;pancreas;4.3
ENSG00000001629;ANKIB1;pituitary gland;8.3
ENSG00000001629;ANKIB1;prostate;7.6
ENSG00000001629;ANKIB1;salivary gland;8.4
ENSG00000001629;ANKIB1;skeletal muscle;3.6
ENSG00000001629;ANKIB1;skin;10.1
ENSG00000001629;ANKIB1;small intestine;8.3
ENSG00000001629;ANKIB1;spinal cord;15.1
ENSG00000001629;ANKIB1;spleen;7.9
ENSG00000001629;ANKIB1;stomach;5.5
