Gene;Gene name;Tissue;TPM
ENSG00000000003;TSPAN6;adipose tissue;31.5
ENSG00000000003;TSPAN6;adrenal gland;26.4
ENSG00000000003;TSPAN6;appendix;9.2
ENSG00000000003;TSPAN6;B-cells;0.1
ENSG00000000003;TSPAN6;bone marrow;0.7
ENSG00000000003;TSPAN6;breast;53.3
ENSG00000000003;TSPAN6;cerebral cortex;18.5
ENSG00000000003;TSPAN6;cervix, uterine;54.2
ENSG00000000003;TSPAN6;colon;48.5
ENSG00000000003;TSPAN6;dendritic cells;0.1
ENSG00000000003;TSPAN6;duodenum;27.1
ENSG00000000003;TSPAN6;endometrium;38.5
ENSG00000000003;TSPAN6;epididymis;32.5
ENSG00000000003;TSPAN6;esophagus;49.7
ENSG00000000003;TSPAN6;fallopian tube;102.0
ENSG00000000003;TSPAN6;gallbladder;40.2
ENSG00000000003;TSPAN6;granulocytes;0.3
ENSG00000000003;TSPAN6;heart muscle;5.4
ENSG00000000003;TSPAN6;kidney;62.3
ENSG00000000003;TSPAN6;liver;56.4
ENSG00000000003;TSPAN6;lung;19.3
ENSG00000000003;TSPAN6;lymph node;4.8
ENSG00000000003;TSPAN6;monocytes;0.1
ENSG00000000003;TSPAN6;NK-cells;0.2
ENSG00000000003;TSPAN6;ovary;71.7
ENSG00000000003;TSPAN6;pancreas;5.9
ENSG00000000003;TSPAN6;parathyroid gland;80.7
ENSG00000000003;TSPAN6;placenta;43.7
ENSG00000000003;TSPAN6;prostate;49.5
ENSG00000000003;TSPAN6;rectum;58.9
ENSG00000000003;TSPAN6;salivary gland;34.0
ENSG00000000003;TSPAN6;seminal vesicle;24.2
ENSG00000000003;TSPAN6;skeletal muscle;1.6
ENSG00000000003;TSPAN6;skin;7.8
ENSG00000000003;TSPAN6;small intestine;18.8
ENSG00000000003;TSPAN6;smooth muscle;18.3
ENSG00000000003;TSPAN6;spleen;14.3
ENSG00000000003;TSPAN6;stomach;21.2
ENSG00000000003;TSPAN6;T-cells;2.9
ENSG00000000003;TSPAN6;testis;84.7
ENSG00000000003;TSPAN6;thyroid gland;53.2
ENSG00000000003;TSPAN6;tonsil;10.2
ENSG00000000003;TSPAN6;urinary bladder;55.4
ENSG00000000938;FGR;adipose tissue;29.0
ENSG00000000938;FGR;adrenal gland;5.7
ENSG00000000938;FGR;appendix;85.7
ENSG00000000938;FGR;B-cells;67.1
ENSG00000000938;FGR;bone marrow;136.9
ENSG00000000938;FGR;breast;5.3
ENSG00000000938;FGR;cerebral cortex;3.5
ENSG00000000938;FGR;cervix, uterine;9.2
ENSG00000000938;FGR;colon;4.2
ENSG00000000938;FGR;dendritic cells;170.9
ENSG00000000938;FGR;duodenum;3.9
ENSG00000000938;FGR;endometrium;9.2
ENSG00000000938;FGR;epididymis;2.1
ENSG00000000938;FGR;esophagus;5.7
ENSG00000000938;FGR;fallopian tube;7.1
ENSG00000000938;FGR;gallbladder;20.4
ENSG00000000938;FGR;granulocytes;187.8
ENSG00000000938;FGR;heart muscle;1.8
ENSG00000000938;FGR;kidney;2.1
ENSG00000000938;FGR;liver;4.5
ENSG00000000938;FGR;lung;56.3
ENSG00000000938;FGR;lymph node;31.4
ENSG00000000938;FGR;monocytes;382.9
ENSG00000000938;FGR;NK-cells;278.5
ENSG00000000938;FGR;ovary;1.6
ENSG00000000938;FGR;pancreas;1.2
ENSG00000000938;FGR;parathyroid gland;1.3
ENSG00000000938;FGR;placenta;11.3
ENSG00000000938;FGR;prostate;3.6
ENSG00000000938;FGR;rectum;4.4
ENSG00000000938;FGR;salivary gland;1.4
ENSG00000000938;FGR;seminal vesicle;3.3
ENSG00000000938;FGR;skeletal muscle;0.9
ENSG00000000938;FGR;skin;3.6
ENSG00000000938;FGR;small intestine;6.6
ENSG00000000938;FGR;smooth muscle;22.9
ENSG00000000938;FGR;spleen;90.6
ENSG00000000938;FGR;stomach;3.6
ENSG00000000938;FGR;T-cells;204.6
ENSG00000000938;FGR;testis;3.1
ENSG00000000938;FGR;thyroid gland;3.8
ENSG00000000938;FGR;tonsil;18.6
ENSG00000000938;FGR;urinary bladder;15.2
ENSG00000000971;CFH;adipose tissue;78.0
ENSG00000000971;CFH;adrenal gland;53.6
ENSG00000000971;CFH;appendix;41.6
ENSG00000000971;CFH;B-cells;0.0
ENSG00000000971;CFH;bone marrow;0.7
ENSG00000000971;CFH;breast;83.5
ENSG00000000971;CFH;cerebral cortex;12.1
ENSG00000000971;CFH;cervix, uterine;113.5
ENSG00000000971;CFH;colon;48.6
ENSG00000000971;CFH;dendritic cells;0.2
ENSG00000000971;CFH;duodenum;29.8
ENSG00000000971;CFH;endometrium;21.4
ENSG00000000971;CFH;epididymis;18.5
ENSG00000000971;CFH;esophagus;69.7
ENSG00000000971;CFH;fallopian tube;19.4
ENSG00000000971;CFH;gallbladder;205.3
ENSG00000000971;CFH;granulocytes;0.4
ENSG00000000971;CFH;heart muscle;70.6
ENSG00000000971;CFH;kidney;26.2
ENSG00000000971;CFH;liver;832.1
ENSG00000000971;CFH;lung;83.5
ENSG00000000971;CFH;lymph node;29.0
ENSG00000000971;CFH;monocytes;0.1
ENSG00000000971;CFH;NK-cells;0.0
ENSG00000000971;CFH;ovary;148.2
ENSG00000000971;CFH;pancreas;2.9
ENSG00000000971;CFH;parathyroid gland;20.3
ENSG00000000971;CFH;placenta;37.2
ENSG00000000971;CFH;prostate;35.2
ENSG00000000971;CFH;rectum;86.8
ENSG00000000971;CFH;salivary gland;12.7
ENSG00000000971;CFH;seminal vesicle;33.1
ENSG00000000971;CFH;skeletal muscle;3.7
ENSG00000000971;CFH;skin;46.1
ENSG00000000971;CFH;small intestine;55.1
ENSG00000000971;CFH;smooth muscle;46.2
ENSG00000000971;CFH;spleen;18.7
ENSG00000000971;CFH;stomach;43.9
ENSG00000000971;CFH;T-cells;18.4
ENSG00000000971;CFH;testis;27.1
ENSG00000000971;CFH;thyroid gland;59.0
ENSG00000000971;CFH;tonsil;23.8
ENSG00000000971;CFH;urinary bladder;109.6
ENSG00000001629;ANKIB1;adipose tissue;14.6
ENSG00000001629;ANKIB1;adrenal gland;14.8
ENSG00000001629;ANKIB1;appendix;14.1
ENSG00000001629;ANKIB1;B-cells;1.3
ENSG00000001629;ANKIB1;bone marrow;4.5
ENSG00000001629;ANKIB1;breast;16.0
ENSG00000001629;ANKIB1;cerebral cortex;36.2
ENSG00000001629;ANKIB1;cervix, uterine;20.4
ENSG00000001629;ANKIB1;colon;13.0
ENSG00000001629;ANKIB1;dendritic cells;1.6
ENSG00000001629;ANKIB1;duodenum;11.6
ENSG00000001629;ANKIB1;endometrium;21.1
ENSG00000001629;ANKIB1;epididymis;20.0
ENSG00000001629;ANKIB1;esophagus;13.7
ENSG00000001629;ANKIB1;fallopian tube;16.8
ENSG00000001629;ANKIB1;gallbladder;24.5
ENSG00000001629;ANKIB1;granulocytes;1.0
ENSG00000001629;ANKIB1;heart muscle;7.0
ENSG00000001629;ANKIB1;kidney;28.1
ENSG00000001629;ANKIB1;liver;5.6
ENSG00000001629;ANKIB1;lung;17.2
ENSG00000001629;ANKIB1;lymph node;15.7
ENSG00000001629;ANKIB1;monocytes;0.6
ENSG00000001629;ANKIB1;NK-cells;1.4
ENSG00000001629;ANKIB1;ovary;16.3
ENSG00000001629;ANKIB1;pancreas;2.6
ENSG00000001629;ANKIB1;parathyroid gland;46.4
ENSG00000001629;ANKIB1;placenta;19.0
ENSG00000001629;ANKIB1;prostate;17.0
ENSG00000001629;ANKIB1;rectum;14.5
ENSG00000001629;ANKIB1;salivary gland;6.1
ENSG00000001629;ANKIB1;seminal vesicle;16.5
ENSG00000001629;ANKIB1;skeletal muscle;2.8
ENSG00000001629;ANKIB1;skin;18.0
ENSG00000001629;ANKIB1;small intestine;13.7
ENSG00000001629;ANKIB1;smooth muscle;20.6
ENSG00000001629;ANKIB1;spleen;17.8
ENSG00000001629;ANKIB1;stomach;11.3
ENSG00000001629;ANKIB1;T-cells;1.7
ENSG00000001629;ANKIB1;testis;38.6
ENSG00000001629;ANKIB1;thyroid gland;29.9
ENSG00000001629;ANKIB1;tonsil;11.3
ENSG00000001629;ANKIB1;urinary bladder;16.7
ENSG00000001631;KRIT1;adipose tissue;16.4
ENSG00000001631;KRIT1;adrenal gland;19.7
ENSG00000001631;KRIT1;appendix;23.9
ENSG00000001631;KRIT1;B-cells;7.5
ENSG00000001631;KRIT1;bone marrow;5.6
ENSG00000001631;KRIT1;breast;17.5
ENSG00000001631;KRIT1;cerebral cortex;28.4
ENSG00000001631;KRIT1;cervix, uterine;26.6
ENSG00000001631;KRIT1;colon;13.7
ENSG00000001631;KRIT1;dendritic cells;7.4
ENSG00000001631;KRIT1;duodenum;16.0
ENSG00000001631;KRIT1;endometrium;31.8
ENSG00000001631;KRIT1;epididymis;15.5
ENSG00000001631;KRIT1;esophagus;17.0
ENSG00000001631;KRIT1;fallopian tube;26.4
ENSG00000001631;KRIT1;gallbladder;28.4
ENSG00000001631;KRIT1;granulocytes;10.2
ENSG00000001631;KRIT1;heart muscle;14.0
ENSG00000001631;KRIT1;kidney;19.5
ENSG00000001631;KRIT1;liver;7.7
ENSG00000001631;KRIT1;lung;20.0
ENSG00000001631;KRIT1;lymph node;19.7
ENSG00000001631;KRIT1;monocytes;4.5
ENSG00000001631;KRIT1;NK-cells;13.7
ENSG00000001631;KRIT1;ovary;28.5
ENSG00000001631;KRIT1;pancreas;3.6
ENSG00000001631;KRIT1;parathyroid gland;42.4
ENSG00000001631;KRIT1;placenta;24.7
ENSG00000001631;KRIT1;prostate;23.0
ENSG00000001631;KRIT1;rectum;15.5
ENSG00000001631;KRIT1;salivary gland;6.4
ENSG00000001631;KRIT1;seminal vesicle;19.6
ENSG00000001631;KRIT1;skeletal muscle;6.9
ENSG00000001631;KRIT1;skin;17.1
ENSG00000001631;KRIT1;small intestine;16.1
ENSG00000001631;KRIT1;smooth muscle;23.5
ENSG00000001631;KRIT1;spleen;23.0
ENSG00000001631;KRIT1;stomach;15.4
ENSG00000001631;KRIT1;T-cells;9.6
